Pclear,Pcloudy
0.709677419354839,0.290322580645161
0.714285714285714,0.285714285714286
0.741935483870968,0.258064516129032
0.866666666666667,0.133333333333333
0.741935483870968,0.258064516129032
0.933333333333333,0.0666666666666667
0.935483870967742,0.0645161290322581
0.67741935483871,0.32258064516129
0.733333333333333,0.266666666666667
0.935483870967742,0.0645161290322581
0.866666666666667,0.133333333333333
0.967741935483871,0.032258064516129
FID,time,CLEAR_SKY_GHI,CLEAR_SKY_BHI,CLEAR_SKY_DHI,CLEAR_SKY_BNI
1,2020/1/1 1:00:00,132.036743164062500,67.702468872070313,64.334281921386719,360.140411376953120
2,2020/1/1 2:00:00,264.839202880859370,166.148040771484370,98.691162109375000,549.710388183593750
3,2020/1/1 3:00:00,363.811309814453120,246.713333129882810,117.097969055175780,644.541809082031250
4,2020/1/1 4:00:00,412.761413574218750,288.475402832031250,124.286026000976560,685.848876953125000
5,2020/1/1 5:00:00,405.566864013671870,283.392150878906250,122.174728393554690,686.981811523437500
6,2020/1/1 6:00:00,341.343597412109370,230.633071899414060,110.710525512695310,642.139465332031250
7,2020/1/1 7:00:00,228.370025634765620,140.283599853515620,88.086425781250000,528.939880371093750
8,2020/1/1 8:00:00,90.021461486816406,42.092578887939453,47.928882598876953,292.362365722656250
9,2020/1/1 9:00:00,3.910902261734009,0.660489380359650,3.250412940979004,15.623273849487305
10,2020/1/1 10:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
11,2020/1/1 11:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,2020/1/1 12:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,2020/1/1 13:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
14,2020/1/1 14:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,2020/1/1 15:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
16,2020/1/1 16:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
17,2020/1/1 17:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,2020/1/1 18:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
19,2020/1/1 19:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,2020/1/1 20:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,2020/1/1 21:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
22,2020/1/1 22:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
23,2020/1/1 23:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
24,2020/1/2 0:00:00,14.344167709350586,2.063269376754761,12.280898094177246,26.483800888061523
25,2020/1/2 1:00:00,99.994766235351563,32.086589813232422,67.908180236816406,168.598510742187500
26,2020/1/2 2:00:00,208.126251220703120,89.421401977539062,118.704841613769530,294.723785400390620
27,2020/1/2 3:00:00,291.940368652343750,139.735778808593750,152.204589843750000,364.206817626953120
28,2020/1/2 4:00:00,336.834991455078120,169.662994384765620,167.171997070312500,402.192474365234370
29,2020/1/2 5:00:00,335.504058837890620,171.969573974609380,163.534469604492190,415.359832763671870
30,2020/1/2 6:00:00,281.385101318359370,138.481323242187500,142.903778076171870,383.329254150390630
31,2020/1/2 7:00:00,185.632781982421870,81.431137084960937,104.201637268066410,304.413055419921870
32,2020/1/2 8:00:00,73.236381530761719,23.754133224487305,49.482246398925781,161.468170166015620
33,2020/1/2 9:00:00,3.581189155578613,0.378455251455307,3.202733755111694,8.674597740173340
34,2020/1/2 10:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
35,2020/1/2 11:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
36,2020/1/2 12:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
37,2020/1/2 13:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
38,2020/1/2 14:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
39,2020/1/2 15:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
40,2020/1/2 16:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
41,2020/1/2 17:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
42,2020/1/2 18:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
43,2020/1/2 19:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
44,2020/1/2 20:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
45,2020/1/2 21:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
46,2020/1/2 22:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
47,2020/1/2 23:00:00,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
48,2020/1/3 0:00:00,14.071467399597168,2.066781520843506,12.004685401916504,26.549543380737305
49,2020/1/3 1:00:00,100.177543640136720,33.399238586425781,66.778305053710937,174.885787963867190
50,2020/1/3 2:00:00,212.194473266601560,96.301101684570313,115.893379211425780,316.574096679687500
51,2020/1/3 3:00:00,301.604644775390620,155.065582275390620,146.539047241210940,403.057830810546870
52,2020/1/3 4:00:00,349.855621337890620,190.867263793945310,158.988342285156250,451.079315185546870
53,2020/1/3 5:00:00,349.522094726562500,196.056350708007810,153.465759277343750,471.715850830078120
