学校马克思主义学院成功举行2018级学生考研表彰暨2019级学生考研动员大会,2022-05-24,http://www.cqwu.edu.cn/article_331670.html,马克思主义学院李华夏,610
我校顺利完成2022年上半年全国大学英语四六级口语考试,2022-05-24,http://www.cqwu.edu.cn/article_331608.html,教务处唐家荣,630
学校举办2022年度教职工双扣比赛,2022-05-24,http://www.cqwu.edu.cn/article_331587.html,吴波,746
学校语言文字工作委员会组织青年志愿者推广普及普通话助力乡村文化振兴,2022-05-23,http://www.cqwu.edu.cn/article_331556.html,教务处蓝璘,752
【书记校长访企拓岗促就业】学校领导带队到重庆高新区走访调研,2022-05-23,http://www.cqwu.edu.cn/article_331553.html,招生就业处、教务处、教育学院,630
学校举办2022届毕业生就业专场招聘会,2022-05-23,http://www.cqwu.edu.cn/article_331543.html,招生就业处李树明,537
【书记校长访企拓岗促就业】学校领导赴重庆人力资源服务产业园拓岗促就业,2022-05-23,http://www.cqwu.edu.cn/article_331521.html,文化与传媒学院,586
我校召开综合实训楼装修与设施设备采购技术对接会,2022-05-20,http://www.cqwu.edu.cn/article_331314.html,基建处冯宇,963
【书记校长访企拓岗促就业】学校领导赴永川企业走访调研,2022-05-20,http://www.cqwu.edu.cn/article_331313.html,招生就业处智能制造工程学院,866
学校举行中外合作办学项目自评工作启动会,2022-05-20,http://www.cqwu.edu.cn/article_331317.html,国际合作与交流处张娟,643
学校举行第十届卓越教师教育实验班开班典礼,2022-05-20,http://www.cqwu.edu.cn/article_331316.html,教务处喻洁,623
学校“大学生学业发展指导中心”正式运行,2022-05-20,http://www.cqwu.edu.cn/article_331240.html,教务处朱俊,757
重庆市人社局领导调研我校国家级专家服务基地工作,2022-05-20,http://www.cqwu.edu.cn/article_331239.html,党委教师工作部杨旻茜,791
我校举行“喜迎二十大、永远跟党走、奋进新征程”主题分享暨2022年五四表彰大会,2022-05-19,http://www.cqwu.edu.cn/article_331217.html,团委包术屏、李莉、黄荣,845
学校组织实验室危险废物集中处置,2022-05-19,http://www.cqwu.edu.cn/article_331179.html,国有资产管理处,566
学校获批第二个教育部中外合作办学项目,2022-05-19,http://www.cqwu.edu.cn/article_331171.html,国际合作与交流处郭明磊,790
《刻?画?印?象》民间传统雕印技艺展在我校博文馆正式开展,2022-05-19,http://www.cqwu.edu.cn/article_331174.html,文化遗产学院唐怿秋邓静,553
四川美术学院来我校考察交流,2022-05-19,http://www.cqwu.edu.cn/article_331172.html,党委教师工作部唐洪辉,692
我校与俄罗斯库兹巴斯国立技术大学举行中外合作办学工作交流会,2022-05-19,http://www.cqwu.edu.cn/article_331173.html,国际合作与交流处李昕玥,551
我校参加教育部高等教育教学评估中心工程教育认证培训,2022-05-19,http://www.cqwu.edu.cn/article_331216.html,材料科学与工程学院蒲勇,389
学校组织劳动模范进校园开展主题教育活动,2022-05-18,http://www.cqwu.edu.cn/article_331096.html,教务处喻洁,715
校领导到数学与大数据学院调研学科建设工作,2022-05-18,http://www.cqwu.edu.cn/article_331093.html,数学与大数据学院李勇,689
